filename,records,sha256_windows,dos_present,sha256_dos,cross_build_identical,left_frames,right_frames,special_launch_frames,special_load_cycle_frames,shield_frames,rapid_missile_frames,trajectory_group_events,bomb_spawn_events,trajectory_group_slots,trajectory_path_families
Demoa1.dat,2101,69ff4a3190aaad1da38c0fc566a5933ae121e331c1d41f441eec9f919ae8857d,0,,0,503,484,12,13,9,104,20,9,1;2;3;4;5;6,0;1
Demoa2.dat,2101,199f2d24a4e20eaa0dcb4b94d4b1c940ae6aaa676468534fdc72ff4fb5be3454,1,199f2d24a4e20eaa0dcb4b94d4b1c940ae6aaa676468534fdc72ff4fb5be3454,1,690,677,13,14,111,139,22,8,1;2;3;4;5;6,0;1
Demoa3.dat,2101,1a232b1a4b688c41daa8e4098da8f78fe55c5767991ea71a53af9cd99d34c259,0,,0,702,681,12,13,84,146,16,4,1;2;3;4;5;6,0;1
Demoa4.dat,2101,56f3f0625667a722d78b07815e2c310c80f8b110bb26b3b4199abc03dabfc185,1,56f3f0625667a722d78b07815e2c310c80f8b110bb26b3b4199abc03dabfc185,1,569,537,11,13,7,103,17,2,1;2;3;4;5;6,0;1
Demob1.dat,2101,0d1c9a03bb1537e940835b6fd0133f888b861fd0f04ff151f4b601149cccb325,1,0d1c9a03bb1537e940835b6fd0133f888b861fd0f04ff151f4b601149cccb325,1,322,361,4,6,41,185,21,10,1;2;3;4;5;6,0;1
Demob2.dat,2101,f89c225e2cb9eb8491b7ce63307510a550359aed991386a1ab7d0cf0fcd492d8,0,,0,480,459,3,7,0,184,17,16,1;2;3;4;5;6,0;1
Demob3.dat,2101,fa1c1027a898205f672a65b3eb38c8a29d0448eb3bf4048435aa6d2b3207fe34,1,fa1c1027a898205f672a65b3eb38c8a29d0448eb3bf4048435aa6d2b3207fe34,1,457,424,3,5,62,202,14,21,1;2;4;5;6,0;1
